customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00012,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.89,1984.15,No
CUST-00013,Female,0,Yes,Yes,33,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),64.03,2106.37,No
CUST-00014,Female,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.1,1872.72,No
CUST-00015,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.72,432.36,No
CUST-00016,Female,0,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Mailed check,75.44,1650.08,No
CUST-00017,Male,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.97,2108.45,No
CUST-00018,Female,1,Yes,No,14,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),51.92,739.09,No
CUST-00019,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,99.4,3973.15,Yes
CUST-00020,Female,1,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.95,483.84,No
CUST-00021,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,95.6,2681.19,No
CUST-00022,Male,0,No,No,50,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,42.34,2111.98,Yes
CUST-00023,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,92.56,5290.99,No
CUST-00024,Female,0,No,Yes,35,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),36.84,1302.4,Yes
CUST-00025,Female,1,Yes,No,46,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),29.67,1378.43,No
CUST-00026,Male,0,No,No,3,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),53.89,156.88,No
CUST-00027,Female,1,No,No,17,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,32.33,561.27,No
CUST-00028,Female,1,Yes,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.16,5037.12,Yes
CUST-00029,Male,0,No,Yes,48,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.17,2585.15,No
CUST-00030,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,94.26,276.07,Yes
CUST-00031,Male,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.39,2101.61,No
CUST-00032,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,66.31,1935.75,No
CUST-00033,Female,0,Yes,No,22,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.97,1094.75,No
CUST-00034,Female,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.65,914.78,Yes
CUST-00035,Male,1,No,No,28,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,29.69,846.5,No
CUST-00036,Female,0,No,Yes,36,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),106.46,3844.78,No
CUST-00037,Female,0,No,Yes,11,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,63.3,688.94,Yes
CUST-00038,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.15,259.3,No
CUST-00039,Female,0,Yes,No,72,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),38.15,2759.15,No
CUST-00040,Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.68,1380.05,Yes
CUST-00041,Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.81,829.64,Yes
CUST-00042,Female,1,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.51,1693.54,No
CUST-00043,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.96,1909.03,No
CUST-00044,Male,1,No,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,87.6,4373.4,Yes
CUST-00045,Female,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.9,1281.98,No
CUST-00046,Male,0,Yes,Yes,69,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,63.06,4359.13,No
CUST-00047,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.9,1381.88,No
CUST-00048,Female,0,Yes,No,18,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),42.87,753.49,Yes
CUST-00049,Female,0,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),109.98,5836.22,Yes
CUST-00050,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,108.77,1205.29,No
CUST-00051,Male,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.74,1152.9,No
CUST-00052,Male,0,No,No,4,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.16,127.95,Yes
CUST-00053,Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),96.96,1160.11,Yes
CUST-00054,Male,0,No,Yes,52,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,105.44,5481.91,Yes
CUST-00055,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,108.55,2911.19,Yes
CUST-00056,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,59.18,653.87,Yes
CUST-00057,Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,86.61,6131.63,No
CUST-00058,Female,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.51,4866.64,No
CUST-00059,Female,0,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.11,437.44,Yes
CUST-00060,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.15,853.48,No
CUST-00061,Female,0,Yes,No,21,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),39.21,812.4,No
CUST-00062,Male,1,Yes,No,58,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),31.2,1828.54,No
CUST-00063,Female,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),71.48,3558.65,No
CUST-00064,Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,71.49,2211.38,Yes
CUST-00065,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.63,5334.45,Yes
CUST-00066,Female,0,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.26,1763.43,No
CUST-00067,Male,0,No,No,11,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,38.33,433.1,No
CUST-00068,Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.73,783.39,No
CUST-00069,Male,0,No,No,60,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),64.66,3866.64,No
CUST-00070,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.7,840.7,No
CUST-00071,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),85.08,583.5,Yes
CUST-00072,Male,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.28,1195.16,Yes
CUST-00073,Male,1,No,No,35,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,45.77,1610.81,No
CUST-00074,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,75.39,1280.63,Yes
CUST-00075,Male,1,No,No,59,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,42.71,2537.4,No
CUST-00076,Male,1,No,No,64,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),66.41,4242.08,No
CUST-00077,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),34.17,1434.36,No
CUST-00078,Female,0,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.79,1743.11,No
CUST-00079,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.15,1738.6,Yes
CUST-00080,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,27.46,1463.62,Yes
CUST-00081,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.36,1420.97,No
CUST-00082,Male,1,No,Yes,17,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.18,1435.18,Yes
CUST-00083,Female,0,Yes,Yes,68,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,73.96,5045.13,No
CUST-00084,Female,0,Yes,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,48.49,276.79,No
CUST-00085,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.47,759.03,Yes
CUST-00086,Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,84.86,421.34,No
CUST-00087,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),99.77,3208.77,Yes
CUST-00088,Female,0,Yes,No,47,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),33.4,1555.88,No
CUST-00089,Female,0,Yes,No,63,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,104.52,6592.4,Yes
CUST-00090,Male,0,Yes,No,10,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),47.25,486.12,No
CUST-00091,Female,1,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.75,2218.35,No
CUST-00092,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.61,1834.94,No
CUST-00093,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.79,154.16,Yes
CUST-00094,Female,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),102.98,7215.14,No
CUST-00095,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),96.06,6344.55,Yes
CUST-00096,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.36,170.82,Yes
CUST-00097,Female,1,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.28,112.14,No
CUST-00098,Female,0,No,No,52,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),62.56,3267.14,No
CUST-00099,Male,0,Yes,Yes,30,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.5,1684.66,No
CUST-00100,Female,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,68.03,1309.82,Yes
CUST-00101,Male,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,82.96,2406.0,No
CUST-00102,Female,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.4,580.76,No
CUST-00103,Male,0,Yes,No,71,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.08,3287.77,Yes
CUST-00104,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),92.03,1579.2,Yes
CUST-00105,Female,0,Yes,No,6,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),49.76,285.14,No
CUST-00106,Female,0,No,No,60,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),48.46,2926.84,No
CUST-00107,Female,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.16,1395.1,No
CUST-00108,Male,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.43,1838.49,No
CUST-00109,Female,1,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.26,1419.24,No
CUST-00110,Male,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,76.29,136.2,No
CUST-00111,Female,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,67.59,3787.05,No
CUST-00112,Female,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,97.87,1861.82,Yes
CUST-00113,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,84.67,2522.71,Yes
CUST-00114,Female,0,Yes,No,32,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,64.99,2062.95,Yes
CUST-00115,Female,0,No,No,71,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),33.75,2409.14,No
CUST-00116,Male,0,No,Yes,38,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,45.84,1743.59,No
CUST-00117,Male,0,No,No,16,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,77.79,1257.92,Yes
CUST-00118,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.99,180.69,Yes
CUST-00119,Male,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,83.55,3504.72,No
CUST-00120,Male,0,No,No,60,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),33.8,2016.06,No
CUST-00121,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,74.51,3784.18,No
CUST-00122,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),44.12,2997.65,No
CUST-00123,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.21,65.57,Yes
CUST-00124,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),84.68,2438.46,No
CUST-00125,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,105.19,4611.98,Yes
CUST-00126,Male,0,No,No,62,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,42.32,2606.45,No
CUST-00127,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,41.8,931.89,No
CUST-00128,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,105.38,5178.43,No
CUST-00129,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,90.82,1366.84,Yes
CUST-00130,Female,0,Yes,No,43,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.46,2595.71,No
CUST-00131,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,74.53,4174.73,No
CUST-00132,Male,0,No,Yes,59,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.03,3065.86,Yes
CUST-00133,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.87,695.79,No
CUST-00134,Female,0,No,Yes,34,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,83.23,2812.56,No
CUST-00135,Male,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,109.68,7017.61,No
CUST-00136,Female,1,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,66.3,2573.27,Yes
CUST-00137,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.6,610.84,No
CUST-00138,Male,0,No,No,20,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.63,1170.46,Yes
CUST-00139,Male,1,Yes,No,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.51,5234.87,Yes
CUST-00140,Female,1,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.0,1317.28,No
CUST-00141,Male,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,98.49,3850.19,No
CUST-00142,Male,0,No,No,11,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,38.04,428.05,Yes
CUST-00143,Male,0,No,No,11,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),45.91,520.95,Yes
CUST-00144,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.84,463.8,No
CUST-00145,Female,0,No,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.66,0.0,No
CUST-00146,Male,0,Yes,No,35,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),54.15,1898.63,No
CUST-00147,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),27.96,844.42,Yes
CUST-00148,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.82,839.1,Yes
CUST-00149,Male,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),104.95,7122.95,No
CUST-00150,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,57.78,965.89,No
CUST-00151,Male,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),81.37,4804.85,No
CUST-00152,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.51,290.48,No
CUST-00153,Male,1,Yes,No,44,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.4,2350.91,No
CUST-00154,Male,0,No,No,62,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),36.48,2256.79,No
CUST-00155,Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.34,1442.49,No
CUST-00156,Male,0,Yes,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,67.05,2871.25,No
CUST-00157,Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,98.24,1458.6,No
CUST-00158,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.63,650.01,No
CUST-00159,Female,0,No,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,96.11,2886.99,No
CUST-00160,Female,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.73,1705.83,No
CUST-00161,Female,0,No,No,27,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,56.52,1520.97,Yes
CUST-00162,Male,0,No,No,60,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,76.59,4610.43,No
CUST-00163,Male,0,No,No,69,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),83.4,5766.44,No
CUST-00164,Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,103.8,814.23,Yes
CUST-00165,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,99.28,6747.03,No
CUST-00166,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.2,3497.01,No
CUST-00167,Male,0,No,Yes,43,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),92.74,4004.18,No
CUST-00168,Male,0,No,No,22,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),42.96,942.51,No
CUST-00169,Male,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,98.79,2382.38,No
CUST-00170,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),97.93,3836.12,No
CUST-00171,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,69.43,980.45,Yes
CUST-00172,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.31,5116.34,No
CUST-00173,Female,0,No,No,48,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),49.03,2335.86,No
CUST-00174,Female,0,Yes,Yes,0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),30.54,0.0,No
